sName,sSymbol,eligble voters,voters,droped,valid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,district,subdistrict,Natural area,Municipal status,Metropolitan affiliation,religion,Total Population 2018,Jews and others,Thereof: Jews,Arabs,Founding year,Current type of locality,Organizational affiliation,Coordinates,height,Planning Commission,Police space,year,Cluster Local Authorities
Abu Juway'ad,967,2018,595,6,589,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,554,0,0,1,1,1,0,0,0,4,0,0,0,8,2,0,0,0,0,0,0,6,62,623.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,460,0.0,2040057100.0,0.0,699.0,15003711.0,2018,0.0
Abu Ghosh,472,4821,2718,36,2682,0,75,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2157,0,1,5,0,0,0,0,0,280,0,2,0,123,14,4,0,3,1,0,0,1,11,111.0,99.0,444.0,2.0,7543.0,97.0,79.0,7446.0,0,280,0.0,2105263481.0,598.0,152.0,10002475.0,2018,0.0
Abu Sinan,473,9422,6090,53,6037,1,92,1,0,0,16,0,0,0,0,0,2,0,0,13,0,0,1,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,4458,0,2,230,2,2,0,0,1,190,0,2,3,752,247,6,0,3,1,0,0,2,24,245.0,99.0,0.0,2.0,13915.0,28.0,11.0,13887.0,0,270,0.0,2160776284.0,19.0,252.0,10004315.0,2018,0.0
Abu 'Abdun,958,142,41,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,62,623.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,460,0.0,1850057900.0,0.0,699.0,10001937.0,2018,0.0
Abu Kuraynat,968,3037,1336,8,1328,2,9,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1263,0,2,0,0,0,0,0,0,8,0,2,0,33,0,0,0,1,1,0,0,6,62,623.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,460,0.0,1970056000.0,0.0,699.0,15003711.0,2018,0.0
Abu Qureinat,1342,578,334,3,331,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,3,0,2,0,52,0,0,0,0,0,0,0,6,62,623.0,68.0,0.0,2.0,1815.0,0.0,0.0,1815.0,0,450,0.0,1963656105.0,410.0,624.0,15003711.0,2018,610.0
Abu Rubay'a,966,4060,1524,21,1503,0,8,1,0,0,1,0,3,0,0,0,3,0,0,3,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1431,0,2,1,0,1,0,0,0,4,0,2,0,24,3,1,0,4,0,0,0,6,62,623.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,460,0.0,2050057200.0,0.0,699.0,10001937.0,2018,0.0
Abu Rukayyek,961,4870,2171,5,2166,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,2126,0,1,1,0,1,0,0,0,3,0,2,1,11,1,2,0,0,0,0,0,6,62,623.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,460,0.0,1920056600.0,0.0,699.0,15003711.0,2018,0.0
Abu Tulul,1375,943,576,2,574,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,565,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,6,62,623.0,68.0,0.0,2.0,1822.0,1.0,0.0,1821.0,0,450,0.0,1933456589.0,340.0,624.0,15003711.0,2018,610.0
Ibtin,652,1818,1161,10,1151,0,4,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1110,0,1,1,0,0,0,0,0,8,0,0,0,18,1,0,0,0,0,0,0,3,31,311.0,12.0,222.0,2.0,2773.0,2.0,2.0,2771.0,0,290,0.0,2108874076.0,19.0,301.0,10004207.0,2018,0.0
